	Data	List of sets
0	минут поездка	{'10.01'}
1	cредство чистящее универсальное пемолюкс	{'10.09', '10.06', '10.01'}
2	барабан golden print cba	{'10.01'}
3	батарея аккумуляторная	{'10.02', '10.06', '10.01', '10.05'}
4	батарея аккумуляторная	{'10.02', '10.06', '10.01', '10.05'}
5	батарея аккумуляторная ааа	{'10.01'}
6	билет единый ультралайт ноябрь	{'10.01'}
7	билет единый ультралайт декабрь	{'10.01'}
8	бланк тройка	{'10.01'}
9	бумага наждачная водостойкая	{'10.08', '10.06', '10.01'}
10	вал тормозной левый	{'10.02', '10.01'}
11	выключатель siva ustu	{'10.01'}
12	диск	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08'}
13	диск внешний жесткий seagate stdr	{'10.01'}
14	диск жесткий сервера seagate	{'10.01'}
15	единый билет ультралайт август	{'10.01'}
16	единый билет ультралайт октябрь	{'10.01'}
17	единый билет ультралайт сентябрь	{'10.01'}
18	изолента черная	{'10.08', '10.06', '10.01'}
19	кабель электрический	{'10.06', '10.01'}
20	карта пластиковая чипом mifare	{'10.01'}
21	карта сетевая eaton netvtork	{'10.01'}
22	картридж canon exv	{'10.06', '10.01', '10.05'}
23	картридж golden print cba	{'10.01'}
24	картридж golden print cea	{'10.01'}
25	картридж golden print cfa	{'10.09', '10.01'}
26	картридж golden print cfa	{'10.09', '10.01'}
27	картридж cba profiline	{'10.01'}
28	колер краска унивверсальная текс	{'10.09', '10.06', '10.01'}
29	кольцо установочное frj	{'10.01'}
30	комплект	{'10.01', '10.05', '10.02', '10.09', '10.10', '10.06', '10.12', '10.08', '10.07'}
31	краска фасадная универсал текс	{'10.01'}
32	лента лскл	{'10.01'}
33	лист хвг	{'10.01'}
34	литература учебно методическая безопасная перевозка цистернах	{'10.01'}
35	литература учебно методическая консультант вопросам безопасности перевозки опасных грузов	{'10.01'}
36	литература учебно методическая подготовка водителей базовый курс	{'10.01'}
37	масло repsol	{'10.03', '10.01'}
38	модуль приемно передающий беспроводной серийный образец	{'10.01'}
39	мыло жидкое универсальное топаз	{'10.09', '10.06', '10.01'}
40	память оперативная kingston kvrsd	{'10.01'}
41	пенал лезвиями	{'10.01'}
42	перевод стрелочный эпюре	{'10.01'}
43	рычаг тормозной	{'10.02', '10.01', '10.05'}
44	рычаг тормозной передний	{'10.01', '10.05'}
45	скребок штангу	{'10.01'}
46	соединение быстроразъемное bsp	{'10.01', '10.05'}
47	соль поваренная таблетированная универсальная	{'10.01'}
48	средство концентриров универс любых типов поверхностей клинмастер	{'10.09', '10.06', '10.01'}
49	трансмитер оптический нрх	{'10.01'}
50	труба	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.12', '10.08', '10.07'}
